        Frequency / THz                tm=0.05/abs,linear
----------------------------------------------------------------------
                       0                  7.6285336e-005
                     0.6                     0.015301029
                     1.2                     0.030562097
                     1.8                      0.04574699
                     2.4                     0.060764215
                       3                     0.075540797
                     3.6                     0.090021083
                     4.2                      0.10416453
                     4.8                        0.117943
                     5.4                      0.13133804
                       6                      0.14433833
                     6.6                      0.15693764
                     7.2                      0.16913323
                     7.8                      0.18092472
                     8.4                      0.19231339
                       9                      0.20330175
                     9.6                      0.21389343
                    10.2                      0.22409309
                    10.8                      0.23390652
                    11.4                      0.24334058
                      12                       0.2524033
                    12.6                      0.26110372
                    13.2                      0.26945189
                    13.8                      0.27745862
                    14.4                      0.28513531
                      15                      0.29249379
                    15.6                      0.29954604
                    16.2                       0.3063041
                    16.8                      0.31277982
                    17.4                      0.31898486
                      18                      0.32493051
                    18.6                      0.33062773
                    19.2                      0.33608713
                    19.8                      0.34131894
                    20.4                      0.34633311
                      21                      0.35113925
                    21.6                      0.35574672
                    22.2                      0.36016461
                    22.8                      0.36440176
                    23.4                      0.36846672
                      24                      0.37236776
                    24.6                      0.37611281
                    25.2                      0.37970945
                    25.8                      0.38316487
                    26.4                      0.38648588
                      27                      0.38967882
                    27.6                      0.39274966
                    28.2                      0.39570393
                    28.8                      0.39854678
                    29.4                      0.40128304
                      30                      0.40391721
                    30.6                      0.40645355
                    31.2                      0.40889611
                    31.8                      0.41124878
                    32.4                      0.41351532
                      33                      0.41569942
                    33.6                      0.41780466
                    34.2                      0.41983457
                    34.8                      0.42179261
                    35.4                      0.42368216
                      36                      0.42550649
                    36.6                      0.42726874
                    37.2                      0.42897194
                    37.8                      0.43061893
                    38.4                      0.43221237
                      39                      0.43375473
                    39.6                      0.43524828
                    40.2                      0.43669511
                    40.8                      0.43809711
                    41.4                      0.43945602
                      42                      0.44077342
                    42.6                      0.44205078
                    43.2                      0.44328945
                    43.8                      0.44449075
                    44.4                       0.4456559
                      45                      0.44678612
                    45.6                       0.4478826
                    46.2                      0.44894653
                    46.8                      0.44997906
                    47.4                      0.45098135
                      48                      0.45195455
                    48.6                      0.45289978
                    49.2                      0.45381811
                    49.8                       0.4547106
                    50.4                      0.45557825
                      51                      0.45642199
                    51.6                       0.4572427
                    52.2                      0.45804122
                    52.8                      0.45881831
                    53.4                      0.45957469
                      54                      0.46031104
                    54.6                      0.46102801
                    55.2                      0.46172619
                    55.8                      0.46240618
                    56.4                      0.46306855
                      57                      0.46371389
                    57.6                      0.46434273
                    58.2                      0.46495563
                    58.8                      0.46555314
                    59.4                      0.46613578
                      60                      0.46670407
                    60.6                       0.4672585
                    61.2                      0.46779953
                    61.8                       0.4683276
                    62.4                       0.4688431
                      63                       0.4693464
                    63.6                      0.46983784
                    64.2                      0.47031771
                    64.8                       0.4707863
                    65.4                      0.47124386
                      66                      0.47169063
                    66.6                      0.47212686
                    67.2                      0.47255277
                    67.8                      0.47296862
                    68.4                      0.47337465
                      69                      0.47377114
                    69.6                      0.47415836
                    70.2                      0.47453659
                    70.8                      0.47490614
                    71.4                      0.47526731
                      72                       0.4756204
                    72.6                      0.47596569
                    73.2                      0.47630347
                    73.8                      0.47663399
                    74.4                      0.47695748
                      75                      0.47727416
                    75.6                       0.4775842
                    76.2                      0.47788776
                    76.8                      0.47818497
                    77.4                      0.47847595
                      78                      0.47876079
                    78.6                      0.47903959
                    79.2                      0.47931243
                    79.8                      0.47957939
                    80.4                      0.47984058
                      81                       0.4800961
                    81.6                      0.48034606
                    82.2                      0.48059058
                    82.8                       0.4808298
                    83.4                      0.48106386
                      84                      0.48129291
                    84.6                      0.48151709
                    85.2                      0.48173656
                    85.8                      0.48195145
                    86.4                      0.48216188
                      87                      0.48236798
                    87.6                      0.48256985
                    88.2                      0.48276758
                    88.8                      0.48296126
                    89.4                      0.48315095
                      90                      0.48333672
                    90.6                      0.48351863
                    91.2                      0.48369675
                    91.8                      0.48387112
                    92.4                      0.48404181
                      93                      0.48420889
                    93.6                      0.48437243
                    94.2                      0.48453251
                    94.8                       0.4846892
                    95.4                      0.48484258
                      96                      0.48499273
                    96.6                      0.48513972
                    97.2                      0.48528361
                    97.8                      0.48542448
                    98.4                      0.48556237
                      99                      0.48569734
                    99.6                      0.48582945
                   100.2                      0.48595872
                   100.8                      0.48608523
                   101.4                      0.48620902
                     102                      0.48633016
                   102.6                      0.48644872
                   103.2                       0.4865648
                   103.8                      0.48667849
                   104.4                       0.4867899
                     105                      0.48689913
                   105.6                       0.4870063
                   106.2                       0.4871115
                   106.8                      0.48721483
                   107.4                      0.48731635
                     108                      0.48741607
                   108.6                      0.48751402
                   109.2                      0.48761013
                   109.8                      0.48770432
                   110.4                      0.48779648
                     111                      0.48788645
                   111.6                      0.48797405
                   112.2                      0.48805911
                   112.8                      0.48814143
                   113.4                      0.48822087
                     114                      0.48829729
                   114.6                      0.48837062
